Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing Yards,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing Yards,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Rushing Yards,Rusing Yards per Attempt,Rushing TD,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Time of Possession,Total Time
27,ATL,2015-11-29,210,1,116,0,3,174,191,26:32,Sun,11,12,,MIN,L 10-20,22,31,9,71.0,210,1,2,3.2,6.5,76.0,2,20,6.06,6.8,6.36,4.52,4.24,9.5,39,191,4.9,2,20,28,71.4,174,0,0,0,1,72.6,24,116,4.8,0,326,57,5.72,67,5.45,3,26:32,2:53
28,ATL,2015-12-06,255,1,64,0,1,222,166,28:45,Sun,12,13,@,TAM,L 19-23,30,45,15,66.7,255,1,1,2.2,2.2,80.7,3,14,6.25,5.7,5.31,5.11,4.79,8.5,37,166,4.5,2,18,27,66.7,222,1,1,5,1,88.8,18,64,3.6,0,319,66,4.83,65,5.97,1,28:45,2:56
29,ATL,2015-12-13,176,0,54,0,4,282,142,28:21,Sun,13,14,@,CAR,L 0-38,25,41,16,61.0,176,0,2,0.0,4.9,56.5,5,59,10.87,4.3,3.83,2.10,1.87,7.0,32,142,4.4,2,19,27,70.4,282,3,2,19,0,141.3,16,54,3.4,0,230,62,3.71,61,6.95,4,28:21,3:10
30,ATL,2015-12-20,245,1,83,1,1,285,85,34:33,Sun,14,15,@,JAX,W 23-17,22,35,13,62.9,245,1,1,2.9,2.9,81.4,1,1,2.78,7.0,6.81,6.29,6.11,11.1,20,85,4.3,1,23,38,60.5,285,1,2,12,1,81.6,33,83,2.5,1,328,69,4.75,60,6.17,1,34:33,3:18
31,ATL,2015-12-27,296,1,77,1,1,113,155,35:38,Sun,15,16,,CAR,W 20-13,23,30,7,76.7,296,1,0,3.3,0.0,119.6,2,10,6.25,9.9,9.25,10.53,9.88,12.9,20,155,7.8,1,17,30,56.7,113,0,2,29,0,65.0,30,77,2.6,1,373,62,6.02,52,5.15,1,35:38,2:55
32,ATL,2016-01-03,327,2,87,0,2,323,67,30:26,Sun,16,17,,NOR,L 17-20,24,36,12,66.7,327,2,1,5.6,2.8,103.2,1,7,2.70,9.1,8.84,8.94,8.70,13.6,22,67,3.0,1,32,43,74.4,323,1,0,0,0,103.1,26,87,3.3,0,414,63,6.57,65,6.00,2,30:26,2:53
33,ATL,2016-09-11,322,2,52,0,0,281,90,32:23,Sun,1,1,,TAM,L 24-31,27,39,12,69.2,322,2,0,5.1,0.0,112.6,3,12,7.14,8.3,7.67,9.28,8.62,11.9,28,90,3.2,0,23,32,71.9,281,4,0,0,1,125.1,22,52,2.4,0,374,64,5.84,60,6.18,0,32:23,3:02
34,ATL,2016-09-18,389,3,139,1,1,299,155,27:15,Sun,2,2,@,LVR,W 35-28,26,34,8,76.5,389,3,1,8.8,2.9,131.5,1,7,2.86,11.4,11.11,11.88,11.54,15.0,25,155,6.2,1,34,45,75.6,299,3,1,0,0,115.0,29,139,4.8,1,528,64,8.25,71,6.39,1,27:15,3:17
35,ATL,2016-09-26,225,2,217,3,0,359,115,27:26,Mon,3,3,@,NOR,W 45-32,20,30,10,66.7,225,2,0,6.7,0.0,113.2,2,15,6.25,7.5,7.03,8.83,8.28,11.3,23,115,5.0,1,36,54,66.7,359,3,2,17,1,96.1,31,217,7.0,3,442,63,7.02,79,6.00,0,27:26,3:02
36,ATL,2016-10-02,481,4,90,1,1,329,49,33:49,Sun,4,4,,CAR,W 48-33,28,37,9,75.7,481,4,1,10.8,2.7,142.0,3,22,7.50,13.0,12.03,13.95,12.90,17.2,15,49,3.3,0,31,48,64.6,329,3,1,8,2,87.9,25,90,3.6,1,571,65,8.78,64,5.91,1,33:49,3:16
37,ATL,2016-10-09,250,1,122,1,1,183,84,28:52,Sun,5,5,@,DEN,W 23-16,15,28,13,53.6,250,1,0,3.6,0.0,98.4,2,17,6.67,8.9,8.33,9.64,9.00,16.7,24,84,3.5,0,23,35,65.7,183,1,6,40,1,76.3,32,122,3.8,1,372,62,6.00,65,4.11,1,28:52,2:58
38,ATL,2016-10-16,310,3,52,0,2,261,72,29:51,Sun,6,6,@,SEA,L 24-26,27,42,15,64.3,310,3,1,7.1,2.4,102.8,4,25,8.70,7.4,6.74,7.74,7.07,11.5,27,72,2.7,3,25,37,67.6,261,0,1,9,0,87.8,18,52,2.9,0,362,64,5.66,65,5.12,2,29:51,3:14
39,ATL,2016-10-23,256,1,130,1,1,348,78,30:30,Sun,7,7,,LAC,L 30-33 (OT),22,34,12,64.7,256,1,1,2.9,2.9,87.0,3,17,8.11,7.5,6.92,6.79,6.24,11.6,26,78,3.0,2,27,45,60.0,348,1,4,23,1,82.5,26,130,5.0,1,386,63,6.13,75,5.68,1,30:30,3:31
40,ATL,2016-10-30,277,3,90,1,0,223,108,28:43,Sun,8,8,,GNB,W 33-32,28,35,7,80.0,277,3,0,8.6,0.0,129.5,2,11,5.41,7.9,7.49,9.63,9.11,9.9,19,108,5.7,0,28,38,73.7,223,4,3,23,0,123.0,19,90,4.7,1,367,56,6.55,60,5.52,0,28:43,3:06
41,ATL,2016-11-03,325,4,136,1,1,326,70,33:28,Thu,9,9,@,TAM,W 43-28,25,34,9,73.5,325,4,0,11.8,0.0,144.7,2,19,5.56,9.6,9.03,11.91,11.25,13.0,20,70,3.5,0,33,48,68.8,326,4,2,10,0,115.5,34,136,4.0,1,461,70,6.59,70,5.66,1,33:28,3:15
42,ATL,2016-11-13,255,1,48,0,1,221,208,21:50,Sun,10,10,@,PHI,L 15-24,18,33,15,54.5,255,1,1,3.0,3.0,78.7,2,12,5.71,7.7,7.29,6.97,6.57,14.2,38,208,5.5,2,25,36,69.4,221,0,2,10,0,85.5,13,48,3.7,0,303,48,6.31,76,5.64,1,21:50,3:05
43,ATL,2016-11-27,244,2,116,3,1,274,58,34:22,Sun,11,12,,ARI,W 38-19,26,34,8,76.5,244,2,1,5.9,2.9,106.1,3,25,8.11,7.2,6.59,7.03,6.46,9.4,14,58,4.1,0,25,45,55.6,274,2,2,15,1,79.3,30,116,3.9,3,360,67,5.37,61,5.44,1,34:22,3:01
44,ATL,2016-12-04,290,1,128,2,1,266,123,31:52,Sun,12,13,,KAN,L 28-29,22,34,12,64.7,290,1,1,2.9,2.9,90.0,2,7,5.56,8.5,8.06,7.79,7.36,13.2,22,123,5.6,2,21,25,84.0,266,1,1,4,0,124.3,30,128,4.3,2,418,66,6.33,48,8.10,1,31:52,2:59
45,ATL,2016-12-11,220,3,66,1,0,208,104,27:08,Sun,13,14,@,LAR,W 42-14,18,30,12,60.0,220,3,0,10.0,0.0,118.3,2,17,6.25,7.3,6.88,9.33,8.75,12.2,23,104,4.5,2,24,41,58.5,208,0,3,27,2,51.7,25,66,2.6,1,286,57,5.02,67,4.66,0,27:08,3:12
46,ATL,2016-12-18,302,2,248,3,1,165,107,36:01,Sun,14,15,,SFO,W 41-13,18,24,6,75.0,302,2,0,8.3,0.0,144.4,1,0,4.00,12.6,12.08,14.25,13.68,16.8,20,107,5.4,0,20,33,60.6,165,2,2,18,0,93.6,41,248,6.0,3,550,66,8.33,55,4.95,1,36:01,2:54
47,ATL,2016-12-24,256,2,152,1,0,183,119,32:45,Sat,15,16,@,CAR,W 33-16,27,33,6,81.8,256,2,0,6.1,0.0,121.8,4,21,10.81,7.8,6.92,8.97,8.00,9.5,23,119,5.2,0,18,43,41.9,183,1,2,15,2,43.1,24,152,6.3,1,408,61,6.69,68,4.44,0,32:45,3:15
48,ATL,2017-01-01,323,4,142,1,0,341,132,29:45,Sun,16,17,,NOR,W 38-32,27,36,9,75.0,323,4,0,11.1,0.0,139.9,1,8,2.70,9.0,8.73,11.19,10.89,12.0,23,132,5.7,2,29,50,58.0,341,2,2,9,1,83.8,22,142,6.5,1,465,59,7.88,75,6.31,0,29:45,3:17
49,ATL,2017-09-10,308,1,64,1,0,176,125,30:34,Sun,1,1,@,CHI,W 23-17,21,30,9,70.0,308,1,0,3.3,0.0,116.1,2,13,6.25,10.3,9.63,10.93,10.25,14.7,19,125,6.6,1,26,40,65.0,176,1,4,37,0,82.9,23,64,2.8,1,372,55,6.76,63,4.78,0,30:34,2:54
50,ATL,2017-09-17,223,1,141,2,0,308,59,28:37,Sun,2,2,,GNB,W 34-23,19,28,9,67.9,223,1,0,3.6,0.0,108.0,3,29,9.68,8.0,7.19,8.68,7.84,11.7,15,59,3.9,1,33,50,66.0,308,2,3,35,1,87.7,27,141,5.2,2,364,58,6.28,68,5.40,0,28:37,3:10
51,ATL,2017-09-24,277,2,151,1,3,253,71,32:35,Sun,3,3,@,DET,W 30-26,24,35,11,68.6,277,2,3,5.7,8.6,77.6,2,17,5.41,7.9,7.49,5.20,4.92,11.5,19,71,3.7,0,25,45,55.6,253,1,2,11,0,79.2,28,151,5.4,1,428,65,6.58,66,4.91,3,32:35,3:22
52,ATL,2017-10-01,242,1,147,1,3,164,117,31:15,Sun,4,4,,BUF,L 17-23,24,42,18,57.1,242,1,2,2.4,4.8,61.8,1,0,2.33,5.8,5.63,4.10,4.00,10.1,36,117,3.3,0,12,20,60.0,164,1,3,18,0,102.9,29,147,5.1,1,389,72,5.40,59,4.76,3,31:15,2:59
53,ATL,2017-10-15,239,1,100,1,1,151,138,25:36,Sun,5,6,,MIA,L 17-20,24,35,11,68.6,239,1,1,2.9,2.9,86.4,2,9,5.41,6.8,6.46,6.11,5.78,10.0,31,138,4.5,0,19,33,57.6,151,2,0,0,1,76.7,19,100,5.3,1,339,56,6.05,64,4.52,1,25:36,2:52
54,ATL,2017-10-22,223,1,120,0,0,241,162,25:55,Sun,6,7,@,NWE,L 7-23,23,33,10,69.7,223,1,0,3.0,0.0,99.7,1,10,2.94,6.8,6.56,7.36,7.15,9.7,36,162,4.5,0,21,29,72.4,241,2,2,8,0,120.0,22,120,5.5,0,343,56,6.13,67,6.01,0,25:55,2:55
55,ATL,2017-10-29,246,2,140,0,2,236,43,28:19,Sun,7,8,@,NYJ,W 25-20,18,29,11,62.1,246,2,0,6.9,0.0,113.3,1,8,3.33,8.5,8.20,9.86,9.53,13.7,22,43,2.0,0,26,33,78.8,236,2,3,21,0,116.7,32,140,4.4,0,386,62,6.23,58,4.81,2,28:19,3:02
56,ATL,2017-11-05,302,2,53,0,1,129,201,27:08,Sun,8,9,@,CAR,L 17-20,24,38,14,63.2,302,2,1,5.3,2.6,95.6,2,11,5.00,7.9,7.55,7.82,7.43,12.6,38,201,5.3,2,13,24,54.2,129,0,1,8,0,69.6,18,53,2.9,0,355,58,6.12,63,5.24,1,27:08,3:04
57,ATL,2017-11-12,204,2,132,1,1,126,107,32:06,Sun,9,10,,DAL,W 27-7,22,29,7,75.9,204,2,1,6.9,3.4,104.8,1,11,3.33,7.0,6.80,6.86,6.63,9.3,21,107,5.1,1,20,30,66.7,126,0,8,50,0,75.1,34,132,3.9,1,336,64,5.25,59,3.95,1,32:06,2:53
58,ATL,2017-11-20,190,2,89,1,1,224,136,30:21,Mon,10,11,@,SEA,W 34-31,19,27,8,70.4,190,2,0,7.4,0.0,115.5,1,5,3.57,7.0,6.79,8.52,8.21,10.0,23,136,5.9,1,27,43,62.8,224,2,3,30,1,81.9,30,89,3.0,1,279,58,4.81,69,5.22,1,30:21,3:18
59,ATL,2017-11-26,368,2,148,2,1,279,94,30:06,Sun,11,12,,TAM,W 34-20,27,36,9,75.0,368,2,0,5.6,0.0,125.7,0,0,0.00,10.2,10.22,11.33,11.33,13.6,23,94,4.1,2,27,44,61.4,279,0,1,4,0,79.6,28,148,5.3,2,516,64,8.06,68,5.49,1,30:06,2:54
60,ATL,2017-12-03,173,0,102,0,0,207,105,25:58,Sun,12,13,,MIN,L 9-14,16,29,13,55.2,173,0,0,0.0,0.0,72.9,0,0,0.00,6.0,5.97,5.97,5.97,10.8,31,105,3.4,0,25,30,83.3,207,2,2,20,0,117.6,22,102,4.6,0,275,51,5.39,63,4.95,0,25:58,2:44
61,ATL,2017-12-07,211,1,132,1,3,256,50,34:41,Thu,13,14,,NOR,W 20-17,15,27,12,55.6,211,1,3,3.7,11.1,55.2,1,10,3.57,7.8,7.54,3.56,3.43,14.1,15,50,3.3,0,26,35,74.3,256,2,2,15,1,101.6,37,132,3.6,1,343,65,5.28,52,5.88,3,34:41,3:00
62,ATL,2017-12-18,209,1,201,1,0,289,84,33:15,Mon,14,15,@,TAM,W 24-21,17,31,14,54.8,209,1,0,3.2,0.0,87.0,1,3,3.13,6.7,6.53,7.39,7.16,12.3,18,84,4.7,0,27,35,77.1,289,3,2,10,0,129.3,35,201,5.7,1,410,67,6.12,55,6.78,0,33:15,2:58
63,ATL,2017-12-24,264,1,67,0,2,229,86,26:12,Sun,15,16,@,NOR,L 13-23,22,36,14,61.1,264,1,1,2.8,2.8,84.0,5,24,12.20,7.3,6.44,6.64,5.83,12.0,31,86,2.8,1,21,28,75.0,229,1,1,10,1,95.7,20,67,3.4,0,331,61,5.43,60,5.25,2,26:12,3:05
64,ATL,2017-12-31,311,1,60,0,0,161,87,34:42,Sun,16,17,,CAR,W 22-10,28,45,17,62.2,311,1,0,2.2,0.0,90.7,1,6,2.17,6.9,6.76,7.36,7.20,11.1,24,87,3.6,0,14,34,41.2,161,1,2,19,3,29.2,26,60,2.3,0,371,72,5.15,60,4.13,0,34:42,3:09
65,ATL,2018-09-06,225,0,74,1,1,119,113,27:50,Thu,1,1,@,PHI,L 12-18,21,43,22,48.8,225,0,1,0.0,2.3,57.4,4,26,8.51,5.2,4.79,4.19,3.83,10.7,27,113,4.2,2,20,35,57.1,119,0,2,13,1,52.0,18,74,4.1,1,299,65,4.60,64,3.63,1,27:50,3:19
66,ATL,2018-09-16,272,2,170,2,1,318,121,29:42,Sun,2,2,,CAR,W 31-24,23,28,5,82.1,272,2,1,7.1,3.6,116.1,0,0,0.00,9.7,9.71,9.54,9.54,11.8,18,121,6.7,0,32,45,71.1,318,3,2,17,1,103.7,32,170,5.3,2,442,60,7.37,65,6.75,1,29:42,3:08
67,ATL,2018-09-23,359,5,48,0,0,391,143,29:20,Sun,3,3,,NOR,L 37-43 (OT),26,35,9,74.3,359,5,0,14.3,0.0,148.1,3,15,7.89,10.3,9.45,13.11,12.08,13.8,27,143,5.3,2,39,49,79.6,391,3,1,5,0,120.3,22,48,2.2,0,407,60,6.78,77,6.94,0,29:20,3:38
68,ATL,2018-09-30,403,3,92,1,0,308,99,29:22,Sun,4,4,,CIN,L 36-37,29,39,10,74.4,403,3,0,7.7,0.0,134.5,3,16,7.14,10.3,9.60,11.87,11.02,13.9,23,99,4.3,2,29,41,70.7,308,3,3,29,1,106.6,24,92,3.8,1,495,66,7.50,67,6.07,0,29:22,3:25
69,ATL,2018-10-07,262,1,62,1,1,250,131,30:52,Sun,5,5,@,PIT,L 17-41,31,45,14,68.9,262,1,0,2.2,0.0,95.1,6,43,11.76,5.8,5.14,6.27,5.53,8.5,29,131,4.5,2,19,29,65.5,250,3,0,0,1,112.7,19,62,3.3,1,324,70,4.63,58,6.57,1,30:52,3:02
70,ATL,2018-10-14,347,3,70,1,0,389,121,31:39,Sun,6,6,,TAM,W 34-29,31,41,10,75.6,347,3,0,7.3,0.0,125.6,1,8,2.38,8.5,8.26,9.93,9.69,11.2,20,121,6.1,0,30,41,73.2,389,4,2,6,2,114.8,22,70,3.2,1,417,64,6.52,63,8.10,0,31:39,3:09
71,ATL,2018-10-22,356,1,67,1,1,372,61,32:17,Mon,7,7,,NYG,W 23-20,31,39,8,79.5,356,1,0,2.6,0.0,115.7,3,23,7.14,9.1,8.48,9.64,8.95,11.5,20,61,3.1,1,27,38,71.1,372,1,4,27,0,110.9,20,67,3.4,1,423,62,6.82,62,6.98,1,32:17,2:57
72,ATL,2018-11-04,337,4,154,1,1,287,79,32:56,Sun,8,9,@,WAS,W 38-14,26,38,12,68.4,337,4,1,10.5,2.6,121.6,2,13,5.00,8.9,8.43,9.79,9.30,13.0,15,79,5.3,1,30,46,65.2,287,1,3,19,1,80.6,24,154,6.4,1,491,64,7.67,64,5.72,1,32:56,2:57
73,ATL,2018-11-11,311,2,71,0,2,216,211,31:23,Sun,9,10,@,CLE,L 16-28,38,52,14,73.1,311,2,0,3.8,0.0,102.2,2,19,3.70,6.0,5.76,6.75,6.50,8.2,29,211,7.3,1,17,21,81.0,216,3,0,0,1,129.3,19,71,3.7,0,382,73,5.23,50,8.54,2,31:23,2:49
74,ATL,2018-11-18,274,1,80,0,1,191,132,28:03,Sun,10,11,,DAL,L 19-22,24,34,10,70.6,274,1,1,2.9,2.9,94.1,3,17,8.11,8.1,7.41,7.32,6.73,11.4,29,132,4.6,2,22,32,68.8,191,0,2,17,0,84.2,18,80,4.4,0,354,55,6.44,63,5.13,1,28:03,2:45
75,ATL,2018-11-22,340,2,26,0,4,162,150,30:59,Thu,11,12,@,NOR,L 17-31,35,47,12,74.5,340,2,1,4.3,2.1,102.9,6,37,11.32,7.2,6.42,7.13,6.32,9.7,31,150,4.8,0,15,22,68.2,162,4,2,9,1,110.2,16,26,1.6,0,366,69,5.30,55,5.67,4,30:59,2:55
76,ATL,2018-12-02,97,1,34,0,1,159,207,20:21,Sun,12,13,,BAL,L 16-26,16,27,11,59.3,97,1,0,3.7,0.0,84.0,3,34,10.00,3.6,3.23,4.33,3.90,6.1,49,207,4.2,1,15,26,57.7,159,0,2,8,0,75.6,15,34,2.3,0,131,45,2.91,77,4.75,1,20:21,3:09
77,ATL,2018-12-09,237,3,107,0,2,162,138,30:49,Sun,13,14,@,GNB,L 20-34,28,42,14,66.7,237,3,1,7.1,2.4,97.5,2,25,4.55,5.6,5.39,6.00,5.73,8.5,25,138,5.5,1,21,32,65.6,162,2,4,34,0,98.7,24,107,4.5,0,344,68,5.06,61,4.92,2,30:49,3:12
78,ATL,2018-12-16,220,2,215,2,0,193,60,30:40,Sun,14,15,,ARI,W 40-14,22,36,14,61.1,220,2,0,5.6,0.0,98.3,2,11,5.26,6.1,5.79,7.22,6.84,10.0,22,60,2.7,1,23,36,63.9,193,1,7,50,2,63.8,27,215,8.0,2,435,65,6.69,65,3.89,0,30:40,3:07
79,ATL,2018-12-23,233,3,194,0,2,295,141,22:31,Sun,15,16,@,CAR,W 24-10,15,26,11,57.7,233,3,0,11.5,0.0,126.9,1,6,3.70,9.0,8.63,11.27,10.85,15.5,25,141,5.6,0,37,57,64.9,295,1,2,17,3,61.7,21,194,9.2,0,427,48,8.90,84,5.19,2,22:31,3:00
80,ATL,2018-12-30,380,3,109,1,1,341,92,34:46,Sun,16,17,@,TAM,W 34-32,32,45,13,71.1,380,3,1,6.7,2.2,109.8,1,3,2.17,8.4,8.26,8.78,8.59,11.9,20,92,4.6,0,22,35,62.9,341,4,1,4,1,121.3,30,109,3.6,1,489,76,6.43,56,7.73,1,34:46,3:08
81,ATL,2019-09-08,272,2,73,0,3,97,172,30:13,Sun,1,1,@,MIN,L 12-28,33,46,13,71.7,272,2,2,4.3,4.3,85.8,4,32,8.00,5.9,5.44,4.83,4.44,8.2,38,172,4.5,3,8,10,80.0,97,1,1,1,0,140.4,17,73,4.3,0,345,67,5.15,49,5.49,3,30:13,3:07
82,ATL,2019-09-15,310,3,57,0,3,237,49,27:06,Sun,2,2,,PHI,W 24-20,27,43,16,62.8,310,3,3,7.0,7.0,79.6,1,10,2.27,7.2,7.05,5.47,5.34,11.5,21,49,2.3,1,28,48,58.3,237,1,3,18,2,60.9,17,57,3.4,0,367,61,6.02,72,3.97,3,27:06,3:16
83,ATL,2019-09-22,304,3,93,0,1,300,79,28:37,Sun,3,3,@,IND,L 24-27,29,34,5,85.3,304,3,1,8.8,2.9,121.1,0,0,0.00,8.9,8.94,9.38,9.38,10.5,24,79,3.3,1,28,37,75.7,300,2,1,10,0,116.9,20,93,4.7,0,397,54,7.35,62,6.11,1,28:37,2:59
